episode,episode_reward,game_score,max_tile,episode_length,epsilon,loss
571,1229.2,1036,128,119,0.615982,16.279707
572,1468.64,1224,128,155,0.61523,10.877726
573,2509.44,2140,256,212,0.614202,11.484916
574,1124.12,956,128,119,0.613625,15.869535
575,996.8,968,64,154,0.612878,12.216187
576,1543.96,1340,128,165,0.612078,11.042099
577,844.76,688,64,99,0.611597,15.267377
578,802.32,680,64,101,0.611108,11.355898
579,1403.04,1156,128,140,0.610429,10.198111
580,1920.2,1612,128,187,0.609522,14.002426
581,1390.16,1164,128,144,0.608823,14.434157
582,1542.16,1324,128,163,0.608033,13.073845
583,789.44,652,64,90,0.607596,11.792094
584,2025.64,1692,128,215,0.606553,15.175946
585,1680.28,1456,128,190,0.605632,14.123219
586,986.2,904,64,131,0.604997,14.44907
587,3452.96,2848,256,293,0.603576,11.87846
588,1215.2,1028,128,130,0.602945,11.217896
589,1230.4,1064,128,136,0.602285,15.860284
590,1633.0,1412,128,179,0.601417,9.939513
591,878.72,736,64,106,0.600903,11.157868
592,499.92,408,32,74,0.600544,13.867252
593,2459.12,2044,256,190,0.599623,11.029761
594,1357.4,1152,128,149,0.5989,10.899117
595,945.04,772,64,104,0.598396,17.305534
596,1531.32,1292,128,151,0.597663,10.47789
597,655.12,576,64,89,0.597232,13.487466
598,1300.08,1060,128,115,0.596674,13.190674
599,1126.8,988,128,133,0.596029,12.893101
600,622.72,564,64,100,0.595544,15.296635
601,925.24,880,64,138,0.594875,8.855165
602,2337.48,2052,128,248,0.593672,14.856414
603,707.08,620,64,93,0.593221,12.732188
